Date : 2021-06-25 00:40:57
Directory : d:\mazen\Documents\myVsProjects\letScrum\LetScrum
Total : 252 files,  35883 codes, 669 comments, 1693 blanks, all 38245 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |     18,165 |          0 |          3 |     18,168 |
| JavaScript       |         63 |      5,539 |        203 |        330 |      6,072 |
| SCSS             |        133 |      4,431 |        200 |        717 |      5,348 |
| CSS              |          6 |      4,405 |        148 |        413 |      4,966 |
| JavaScript React |         22 |      3,173 |         81 |        192 |      3,446 |
| XML              |         23 |        109 |          2 |          3 |        114 |
| Markdown         |          1 |         38 |          0 |         33 |         71 |
| HTML             |          1 |         23 |         35 |          2 |         60 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        252 |     35,883 |        669 |      1,693 |     38,245 |
| public                                                                                                                        |          2 |         48 |         35 |          3 |         86 |
| src                                                                                                                           |        247 |     17,657 |        634 |      1,655 |     19,946 |
| src\assets                                                                                                                    |        140 |      7,690 |        299 |      1,027 |      9,016 |
| src\assets\icons                                                                                                              |          7 |         93 |          2 |          3 |         98 |
| src\assets\images                                                                                                             |         16 |         16 |          0 |          0 |         16 |
| src\assets\scss                                                                                                               |        117 |      7,581 |        297 |      1,024 |      8,902 |
| src\assets\scss\effects                                                                                                       |        112 |      2,638 |        117 |        493 |      3,248 |
| src\assets\scss\effects\2d-transitions                                                                                        |         29 |        563 |         29 |        123 |        715 |
| src\assets\scss\effects\background-transitions                                                                                |         18 |        511 |         18 |         69 |        598 |
| src\assets\scss\effects\border-transitions                                                                                    |         18 |        445 |         18 |         80 |        543 |
| src\assets\scss\effects\curls                                                                                                 |          4 |        122 |          4 |         13 |        139 |
| src\assets\scss\effects\icons                                                                                                 |         28 |        685 |         33 |        160 |        878 |
| src\assets\scss\effects\shadow-and-glow-transitions                                                                           |          7 |        120 |          7 |         20 |        147 |
| src\assets\scss\effects\speech-bubbles                                                                                        |          8 |        192 |          8 |         28 |        228 |
| src\components                                                                                                                |         70 |      7,271 |        206 |        423 |      7,900 |
| src\components\TabPanel                                                                                                       |          1 |        302 |          8 |         21 |        331 |
